agent,reference_sex,age_bin,target_agent,n_cases_clean,n_windows_clean,n_female,n_male,mean_age,mean_agent,sd_agent,mean_mac,mean_bis,sd_bis,mean_sef,sd_sef,mean_sqi,delta_power_db,theta_power_db,alpha_power_db,beta_power_db,alpha_peak_freq,alpha_peak_power_db,alpha_delta_diff_db,usable_cell
des,all,25-29,6.9,2,2,1,1,27.5,6.918333411216736,0.0436048765882799,0.9912499979138374,25.620000044504803,0.3783021099521472,12.281749995549518,0.3957440268699821,96.60375057856243,21.194553280379374,14.059016179619327,9.19621241815123,-0.8351033267833883,8.5,11.718309535858108,-11.998340862228144,False
des,all,25-29,7.0,6,6,6,0,26.833333333333332,7.002916667196485,0.017714928083456736,1.018194448782338,35.213194478882684,8.022883896170336,13.725652764903174,1.437117054381105,97.07486165364584,20.857635528106613,13.313442717510284,12.557338778278686,0.6535343400863575,8.5,14.548467227456925,-8.300296749827925,True
des,all,25-29,7.1,1,1,1,0,26.0,7.099999904632568,,1.100000023841858,35.702500104904175,,11.088499959309896,,94.60749988555908,28.409576200207592,17.32131370063712,12.46017537764778,2.261252103307637,8.5,13.28856733397514,-15.949400822559811,False
des,all,25-29,7.5,3,3,3,0,26.333333333333332,7.485277781221602,0.024781446861542888,1.0783333520094553,35.91111118528578,4.629843875212596,12.7075833135181,1.5925014298359912,96.46638921101889,23.012110284227976,14.360233520513328,12.488204704622467,0.8805908257691266,8.5,14.603866079677102,-10.523905579605511,True
des,all,25-29,8.0,1,1,1,0,26.0,7.985000014305115,,1.2000000476837158,32.603333441416424,,10.723166648546854,,93.71916732788084,26.589978184554035,16.2487760782715,11.762275219295203,0.7557173812359868,8.5,13.195958115718398,-14.82770296525883,False
des,all,25-29,9.0,1,1,1,0,26.0,8.999166663487753,,1.353333298365275,42.49166650772095,,10.423833314577738,,97.6783342997233,25.35371142656032,15.249272429140856,9.746315471044229,-1.072665203082461,8.5,11.386736948986371,-15.60739595551609,False
des,all,25-29,9.5,1,1,1,0,26.0,9.500833336512247,,1.399999976158142,49.193333307902016,,10.064333319664,,90.81166718800864,26.800098174474986,14.991714723071276,9.269703769325922,-0.5874735854264092,8.5,11.047951392057747,-17.530394405149064,False
des,all,30-34,2.4,1,1,1,0,34.0,2.443333387374878,,0.4000000059604645,41.44250020980835,,13.243666593233744,,98.40250072479247,18.32807523102869,6.2193751577469,7.546664359871398,-5.085011923948345,10.5,9.093951502387736,-10.781410871157291,False
des,all,30-34,2.5,2,2,1,1,34.0,2.5033333351214724,0.002357013331648591,0.5200000032782555,45.284166630109155,10.852910721524935,15.970916652679442,1.7779021798347558,93.60916655858358,18.524156631798974,8.500296408473616,8.246496571535694,-0.6624945454139939,9.5,8.188811840180755,-10.27766006026328,False
des,all,30-34,2.6,1,1,0,1,31.0,2.5975000083446504,,0.4000000059604645,31.466666666666665,,12.007749938964844,,91.34916547139484,28.045655719541813,19.00223106216841,16.77903588375446,10.168351034612352,9.5,15.128775310049948,-11.266619835787353,False
