age_bin,target_agent,template_path,n_windows_requested,status,error_preview
60-64,1.0,data\dsa_templates_v1\age_60_64_et_1.0.npz,73,ok,
60-64,1.1,data\dsa_templates_v1\age_60_64_et_1.1.npz,77,ok,
60-64,1.2,data\dsa_templates_v1\age_60_64_et_1.2.npz,85,ok,
60-64,1.3,data\dsa_templates_v1\age_60_64_et_1.3.npz,91,ok,
60-64,1.4,data\dsa_templates_v1\age_60_64_et_1.4.npz,129,ok,
60-64,1.5,data\dsa_templates_v1\age_60_64_et_1.5.npz,137,ok,
60-64,1.6,data\dsa_templates_v1\age_60_64_et_1.6.npz,131,ok,
60-64,1.7,data\dsa_templates_v1\age_60_64_et_1.7.npz,104,ok,
60-64,1.8,data\dsa_templates_v1\age_60_64_et_1.8.npz,104,ok,
60-64,1.9,data\dsa_templates_v1\age_60_64_et_1.9.npz,131,ok,
60-64,2.0,data\dsa_templates_v1\age_60_64_et_2.0.npz,119,ok,
60-64,2.1,data\dsa_templates_v1\age_60_64_et_2.1.npz,108,ok,
60-64,2.2,data\dsa_templates_v1\age_60_64_et_2.2.npz,80,ok,
60-64,2.3,data\dsa_templates_v1\age_60_64_et_2.3.npz,45,ok,
60-64,2.4,data\dsa_templates_v1\age_60_64_et_2.4.npz,54,ok,
60-64,2.5,data\dsa_templates_v1\age_60_64_et_2.5.npz,36,ok,
60-64,2.6,data\dsa_templates_v1\age_60_64_et_2.6.npz,33,ok,
60-64,2.7,data\dsa_templates_v1\age_60_64_et_2.7.npz,30,ok,
60-64,2.8,data\dsa_templates_v1\age_60_64_et_2.8.npz,20,ok,
60-64,2.9,data\dsa_templates_v1\age_60_64_et_2.9.npz,9,ok,
60-64,3.0,data\dsa_templates_v1\age_60_64_et_3.0.npz,5,ok,
65-69,1.0,data\dsa_templates_v1\age_65_69_et_1.0.npz,54,ok,
65-69,1.1,data\dsa_templates_v1\age_65_69_et_1.1.npz,57,ok,
65-69,1.2,data\dsa_templates_v1\age_65_69_et_1.2.npz,61,ok,
65-69,1.3,data\dsa_templates_v1\age_65_69_et_1.3.npz,81,ok,
65-69,1.4,data\dsa_templates_v1\age_65_69_et_1.4.npz,94,ok,
65-69,1.5,data\dsa_templates_v1\age_65_69_et_1.5.npz,110,ok,
65-69,1.6,data\dsa_templates_v1\age_65_69_et_1.6.npz,109,ok,
65-69,1.7,data\dsa_templates_v1\age_65_69_et_1.7.npz,93,ok,
65-69,1.8,data\dsa_templates_v1\age_65_69_et_1.8.npz,75,ok,
65-69,1.9,data\dsa_templates_v1\age_65_69_et_1.9.npz,93,ok,
65-69,2.0,data\dsa_templates_v1\age_65_69_et_2.0.npz,91,ok,
65-69,2.1,data\dsa_templates_v1\age_65_69_et_2.1.npz,84,ok,
65-69,2.2,data\dsa_templates_v1\age_65_69_et_2.2.npz,66,ok,
65-69,2.3,data\dsa_templates_v1\age_65_69_et_2.3.npz,46,ok,
65-69,2.4,data\dsa_templates_v1\age_65_69_et_2.4.npz,39,ok,
