agent,reference_sex,age_bin,target_agent,n_cases_clean,n_windows_clean,n_female,n_male,mean_age,mean_agent,sd_agent,mean_mac,mean_bis,sd_bis,mean_sef,sd_sef,mean_sqi,delta_power_db,theta_power_db,alpha_power_db,beta_power_db,alpha_peak_freq,alpha_peak_power_db,alpha_delta_diff_db,mean_fen2o,mean_fin2o,max_fen2o,max_fin2o,usable_cell
sevo,all,30-34,1.7,17,17,12,5,32.11764705882353,1.7002612119723184,0.022517296373366694,0.8000394518665201,40.4845959885959,10.483201782566297,14.060585741757178,2.4220838329746477,97.80922134331628,17.555707779570835,11.919919129621894,11.18874443160798,-2.167651497243982,10.0,13.154856434350142,-6.366963347962853,0.0,0.0,0.0,0.0,True
sevo,all,30-34,1.8,16,16,10,6,31.9375,1.7896508510811449,0.016408802759057362,0.8098767172271134,39.759605714903834,10.175691684973602,13.80521430496592,2.4925368181288405,97.82480091881007,17.23449357463512,11.416023445444424,10.072566577996866,-2.6940486238861028,9.5,12.015964687082311,-7.161926996638252,0.0,0.0,0.0,0.0,True
sevo,all,30-34,1.9,24,24,13,11,32.291666666666664,1.9005243362781281,0.022500523042586228,0.8422162541084819,39.728738902907615,8.948034589493435,14.145523286559103,2.051938541558565,98.80340917319472,17.16097490945656,11.830043690772195,10.474003999562278,-2.770192463417278,9.5,12.487815152899948,-6.686970909894282,0.0,0.0,0.0,0.0,True
sevo,all,30-34,2.0,24,24,12,12,32.291666666666664,2.001949856010227,0.024477291756585945,0.9143836610538226,36.12204828993418,7.329990719112857,13.586891399551597,1.6104407762668882,98.50134415899714,18.047246000054468,12.355823297405001,10.44427521075014,-2.849023753136105,9.0,12.517076507736206,-7.6029707893043295,0.0,0.0,0.0,0.0,True
sevo,all,30-34,2.1,27,27,14,13,32.2962962962963,2.1038536095060407,0.02385941019232669,0.9487772350869267,34.19243948694181,6.136872847988241,13.01972148026811,1.528731708045062,98.38417764456919,18.089988500294677,12.359125634024428,10.121973911872718,-3.5129908996793335,9.0,12.48394407619355,-7.968014588421958,0.0,0.0,0.0,0.0,True
sevo,all,30-34,2.2,22,22,12,10,32.36363636363637,2.20439633302193,0.021776726090526492,1.0172487557960928,35.02142692215063,5.88380003653407,13.0002930070076,1.7015319035297725,98.39482552842661,18.768535676701394,13.088032295339831,10.455144099378563,-2.8636699522881255,9.0,12.886495265254014,-8.313391577322834,0.0,0.0,0.0,0.0,True
sevo,all,30-34,2.3,11,11,5,6,32.27272727272727,2.3027923644520345,0.02684112242225718,1.038290136969987,34.64873997316216,10.338952209144193,12.324317574805834,2.3656364216164505,97.74300442071575,18.970130877082173,12.619455313949949,9.045365107819121,-3.35518669652092,8.0,12.047459320408784,-9.92476576926305,0.0,0.0,0.0,0.0,True
sevo,all,30-34,2.4,10,10,5,5,32.6,2.398524816654002,0.011111570061667707,1.0865084841668917,33.95361976676931,5.8750955754777445,12.449853237823893,1.2852805107244123,97.96948499778907,17.92342232391287,12.305409689657479,9.815566357340483,-4.290578705883212,9.0,12.336800309882154,-8.107855966572387,0.0,0.0,0.0,0.0,True
sevo,all,30-34,2.5,8,8,5,3,31.875,2.508633612127354,0.02393277958374029,1.1417374919100742,34.16736161302154,6.326455371676814,12.986605379381217,1.3158414170863884,98.06151632610708,18.61270989372446,13.07682584539727,10.167808237677091,-3.1153663074187716,8.5,12.877454432293982,-8.444901656047369,0.0,0.0,0.0,0.0,True
sevo,all,30-34,2.6,4,4,1,3,32.5,2.603302344780726,0.01519238064668407,1.1935058957353855,33.43681472595781,7.42734909002734,12.617970353752995,1.3063688585928976,96.41772574844461,19.00608087284848,13.3689200317151,10.670518699638352,-3.099975270512722,8.25,13.612357624379579,-8.335562173210125,0.0,0.0,0.0,0.0,False
sevo,all,30-34,2.7,2,2,1,1,33.0,2.720800809096545,0.029416718897709943,1.2018783011008054,37.99528639055789,7.082079543385966,13.58626887379214,0.5354244201187389,98.09531329125166,17.827872658105456,12.088970618024533,9.33586723375457,-3.4608167756914767,8.25,10.426616052334044,-8.492005424350886,0.0,0.0,0.0,0.0,False
sevo,all,30-34,2.8,2,2,1,1,31.5,2.8000683339700725,9.6706262204455e-05,1.2539225223008543,36.77132155063252,5.3935581883492745,12.717525402891141,0.17728397502873344,97.57833449045816,17.141261711794204,10.697934951238263,8.469546480320112,-4.836899408393421,8.5,10.825997462700073,-8.671715231474092,0.0,0.0,0.0,0.0,False
sevo,all,30-34,2.9,2,2,1,1,31.0,2.9115039703669026,0.01626893604409593,1.2979231434059328,28.91944337685903,2.9553151574184633,11.18856801915293,0.742955104513306,96.75327492107947,17.737132340880812,12.07872231157905,7.4295267779409695,-5.717618963372486,8.0,10.866444823933112,-10.307605562939843,0.0,0.0,0.0,0.0,False
sevo,all,30-34,3.0,1,1,1,0,32.0,2.9984635431319475,,1.3213215719830866,30.11666653951009,,12.35274997552236,,99.65833333333332,19.438973671915964,12.74443783092597,8.146533473251845,-3.878030796703651,8.0,9.977012148733738,-11.29244019866412,0.0,0.0,0.0,0.0,False
sevo,all,35-39,1.0,22,22,12,10,37.04545454545455,1.0047783533104158,0.028222400347432987,0.5283549398818814,48.869553455371744,10.770623347778807,16.251558672269862,2.2649762943989025,97.63598036154202,14.4508129436152,10.206193672939538,10.232189999454931,-1.4305019854449996,10.0,12.146019065858168,-4.218622944160269,0.0,0.0,0.0,0.0,True
sevo,all,35-39,1.1,25,25,16,9,36.72,1.1025018423879518,0.02751546809515233,0.551135420236426,49.05937707319359,10.0243078162337,16.30176010985424,2.420047473142443,98.51925731943051,14.46660035891744,10.152307602843212,11.407163644331257,-0.7852570559555754,10.5,13.101206508063063,-3.0594367145861803,0.0,0.0,0.0,0.0,True
sevo,all,35-39,1.2,26,26,16,10,36.92307692307692,1.2049689715069969,0.026482919160358366,0.6804850363570344,42.95233948349666,11.189826538579924,15.014162298167745,2.576045882391265,97.64825832786468,16.104225570252474,11.37620179158197,10.977064134025577,-1.835027888642459,10.0,12.916614894489637,-5.127161436226899,0.0,0.0,0.0,0.0,True
sevo,all,35-39,1.3,27,27,14,13,36.77777777777778,1.301958645545636,0.02387918148285909,0.6609447497164509,41.18490667305887,9.71836230226067,14.316405200686903,2.5095979749237114,98.5442413115759,16.892303698576324,11.861982108951596,10.950635648023834,-2.01358449780524,9.5,12.909022174665107,-5.941668050552489,0.0,0.0,0.0,0.0,True
sevo,all,35-39,1.4,37,37,20,17,36.810810810810814,1.4040265840530681,0.02223613885710899,0.6695910832834187,44.002633893966404,9.524912231239302,15.18758348593203,2.4587884646697495,97.79954320662193,16.402462452641647,11.753133130502137,11.924594084175663,-1.1271865258148732,10.0,13.563157220875475,-4.477868368465984,0.0,0.0,0.0,0.0,True
sevo,all,35-39,1.5,34,34,22,12,37.1764705882353,1.504567058547628,0.01690619032722313,0.7149735642937194,43.606935301262375,8.84648912510531,15.187597659747025,2.3185893605795753,97.68391431523304,16.426043673210724,11.870628401165748,12.099833941382004,-1.307256975115689,9.5,13.767830713402212,-4.326209731828719,0.0,0.0,0.0,0.0,True
sevo,all,35-39,1.6,38,38,27,11,37.078947368421055,1.6017598919837996,0.020737484065763916,0.7695485506067868,40.88618196689507,9.035653247929524,14.573705326015817,2.301283447797505,97.63557195879127,17.18008387549746,12.339571728181369,11.949989464405272,-1.564721725745274,9.5,13.888374664406792,-5.230094411092186,0.0,0.0,0.0,0.0,True
sevo,all,35-39,1.7,37,37,23,14,36.91891891891892,1.7007800506539055,0.02110323849220991,0.817144925961468,39.95362190614614,8.151496628270467,14.38338391198567,2.2507151452971623,97.94948969347789,17.706427306988413,12.699543992518585,11.913897998600705,-1.4790745371812024,9.5,13.849537732591124,-5.792529308387711,0.0,0.0,0.0,0.0,True
sevo,all,35-39,1.8,32,32,19,13,36.6875,1.8013352169371502,0.027933955207778957,0.8449294086094596,37.58102415252554,8.823823550987706,13.62178954279904,2.395707088099295,98.19930058759637,17.65097820719704,12.277849618571004,10.696678849188961,-2.56055430264234,9.0,12.812262102376534,-6.954299358008078,0.0,0.0,0.0,0.0,True
sevo,all,35-39,1.9,43,43,29,14,36.95348837209303,1.901508728059572,0.023245751964715778,0.9066130553604131,36.63854454032094,7.8824310845345495,13.677522256710501,1.993113041365422,98.31117070111655,17.572216565108057,12.343964713451923,10.671494939750175,-2.671325523246999,9.0,12.85450587158147,-6.900721625357882,0.0,0.0,0.0,0.0,True
sevo,all,35-39,2.0,42,42,27,15,36.88095238095238,2.0009348519185246,0.02200020390722216,0.9514301066860623,35.6962606921792,7.166210837192932,13.391739887989583,1.9883285680382483,98.10731153620615,18.09572571180981,12.798784124044815,10.87359459156788,-2.6420111697334283,9.0,13.400193612118363,-7.2221311202419285,0.0,0.0,0.0,0.0,True
